"","acinar","activated-stellate","alpha","beta","delta","ductal","endothelial","epsilon","gamma","macrophage","mast","quiescent-stellate","schwann","t-cell"
"TRAJ28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ29",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ32",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ33",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ34",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ35",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ36",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ37",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ39",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ41",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ42",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ43",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ44",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ46",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ47",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ48",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ49",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ52",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ53",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ54",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ56",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ57",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ58",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ61",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAJ9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAK1",18,32,88,410,81,57,12,1,21,1,2,42,0,1
"TRAK2",35,26,49,72,27,36,33,4,13,3,0,27,2,0
"TRAM1",227,116,132,1198,219,179,110,10,37,21,1,65,7,0
"TRAM1L1",0,0,0,20,8,1,0,0,0,0,0,2,0,0
"TRAM2",5,24,8,12,6,14,49,1,0,1,0,9,0,0
"TRANK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAP1",68,20,77,312,59,63,26,1,13,0,0,16,0,0
"TRAPPC1",138,51,207,680,135,163,65,6,33,10,1,39,6,0
"TRAPPC10",6,4,9,40,8,5,8,0,1,1,0,3,0,0
"TRAPPC11",9,13,22,75,21,15,9,1,6,1,0,1,0,0
"TRAPPC12",17,26,67,281,56,31,20,5,15,1,1,23,0,0
"TRAPPC13",10,3,38,92,27,17,14,0,2,2,2,8,0,0
"TRAPPC2",12,4,28,99,14,6,6,2,2,0,0,6,0,0
"TRAPPC2B",3,10,22,71,17,12,6,0,7,0,0,12,1,0
"TRAPPC2L",30,9,41,156,30,22,12,2,17,0,0,9,0,0
"TRAPPC3",73,40,142,459,90,104,62,5,32,5,1,34,1,0
"TRAPPC3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAPPC4",22,23,167,665,118,62,32,3,19,2,2,37,2,0
"TRAPPC5",87,52,214,503,102,115,49,7,27,18,4,33,4,0
"TRAPPC6A",20,4,54,160,32,22,16,6,8,5,1,11,0,2
"TRAPPC6B",15,5,34,115,8,18,4,1,14,3,0,9,0,0
"TRAPPC8",6,7,19,104,28,12,13,1,10,6,0,8,4,1
"TRAPPC9",17,3,50,218,46,15,9,4,12,2,0,2,0,0
"TRAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV14DV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV20",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV21",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV23DV6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV26.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV26.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV27",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV29DV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV34",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV36DV7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV38.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV38.2DV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV39",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV41",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV8.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV8.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV8.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAV9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBC2",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"TRBJ2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBJ2.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV12.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV20OR9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV21OR9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV23.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV23OR9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV25.1",0,0,0,0,0,0,0,0,0,0,0,2,0,4
"TRBV27",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV29.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV5.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV6.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDC",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TRDD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDJ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDJ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDJ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDJ4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDMT1",4,0,6,12,3,3,8,0,1,2,0,0,0,0
"TRDN",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRDV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREH",1,0,1,0,0,2,0,0,0,0,0,0,0,0
"TREM1",0,0,0,3,1,0,0,0,0,0,0,4,0,0
"TREM2",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"TREML1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREML2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREML3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREML4",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TRERF1",0,2,5,24,7,1,4,1,1,0,2,4,0,0
"TRERNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREX1",5,1,9,46,7,4,5,0,3,1,0,1,0,0
"TREX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGJ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGJ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGJP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGJP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGJP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV5",0,0,0,0,0,0,3,0,0,1,0,0,0,0
"TRGV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRH",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"TRHDE",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIAP1",76,34,96,331,48,42,25,1,12,4,2,30,3,0
"TRIB1",128,13,40,193,57,143,59,1,22,14,0,32,5,2
"TRIB2",142,35,6,22,5,30,15,0,2,0,0,29,0,0
"TRIB3",14,22,64,642,30,58,35,4,3,1,0,19,1,0
"TRIL",0,1,3,4,7,1,11,1,4,0,0,0,0,0
"TRIM10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM11",14,12,14,94,12,24,10,0,6,0,0,3,0,0
"TRIM13",14,13,45,126,34,34,26,0,9,0,0,10,4,2
"TRIM14",2,0,11,28,11,12,1,1,2,1,0,0,0,0
"TRIM15",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"TRIM16",5,3,4,22,3,37,3,0,0,0,0,3,1,0
"TRIM16L",4,0,8,15,3,9,2,0,0,0,1,1,0,0
"TRIM17",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TRIM2",18,3,25,278,47,7,9,1,19,2,0,3,0,0
"TRIM21",12,15,11,22,14,13,8,0,1,3,1,2,0,0
"TRIM22",3,16,0,0,0,5,17,0,0,1,0,0,0,0
"TRIM23",6,9,40,151,18,8,9,0,4,0,0,8,0,0
"TRIM24",15,3,3,36,6,15,15,2,4,1,1,2,0,0
"TRIM25",12,3,3,23,2,9,4,0,2,0,0,4,0,0
"TRIM26",17,7,44,127,16,29,15,2,8,1,0,11,1,0
"TRIM27",68,34,75,311,56,38,26,2,18,7,0,17,0,1
"TRIM28",179,86,170,494,117,138,97,6,27,14,0,43,1,2
"TRIM29",0,0,0,0,0,23,0,0,0,0,0,0,0,0
"TRIM3",1,7,13,24,8,4,14,1,1,2,0,1,0,0
"TRIM31",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"TRIM32",10,6,9,22,11,15,6,0,2,0,0,9,0,0
"TRIM33",33,9,52,160,41,37,21,2,13,3,5,14,0,1
"TRIM34",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM35",5,7,17,50,12,5,12,0,0,5,0,2,0,0
"TRIM36",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"TRIM37",7,5,28,148,22,13,8,1,11,2,0,2,0,0
"TRIM38",9,6,14,49,10,15,10,0,2,3,1,7,0,0
"TRIM39",3,0,19,88,15,15,4,0,3,0,1,3,0,0
"TRIM39.RPP21",0,0,2,3,1,0,0,0,0,0,0,0,0,0
"TRIM4",22,12,49,155,29,24,21,0,7,1,0,8,0,0
"TRIM40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM41",18,8,35,136,28,21,8,1,13,0,1,7,0,0
"TRIM42",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM43",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM44",63,26,127,441,111,63,30,9,33,13,2,22,0,0
"TRIM45",2,0,4,10,3,3,0,0,0,0,0,1,0,0
"TRIM46",0,0,10,13,5,0,0,3,4,0,0,0,0,0
"TRIM47",84,9,2,6,1,82,31,0,0,0,0,2,0,0
"TRIM48",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM49",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM49B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM49C",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM49D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM5",10,10,0,6,1,8,5,0,0,1,0,5,0,0
"TRIM50",6,0,0,0,0,1,0,0,0,0,0,1,0,0
"TRIM51",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM51HP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM52",1,10,12,52,7,3,3,0,3,0,1,10,0,0
"TRIM54",2,0,0,0,0,6,0,0,0,0,0,0,0,0
"TRIM55",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TRIM56",29,17,56,198,33,49,19,4,14,5,3,8,0,0
"TRIM58",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM59",3,1,17,29,5,4,1,0,3,0,0,2,0,0
"TRIM6",0,0,0,1,0,2,0,0,0,0,0,0,0,0
"TRIM6.TRIM34",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM60",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM61",0,1,2,13,4,0,0,1,0,1,0,0,0,0
"TRIM62",2,1,7,16,5,2,5,0,0,0,2,0,0,0
"TRIM63",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TRIM64",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM64B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM65",0,0,0,6,0,1,0,0,0,0,0,0,0,0
"TRIM66",2,4,4,19,7,2,1,0,4,0,0,1,0,0
"TRIM67",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM68",7,5,14,48,14,8,2,2,7,0,0,2,0,0
"TRIM69",6,3,9,27,8,8,5,0,1,1,0,0,0,0
"TRIM7",1,1,4,9,1,1,1,0,1,0,0,0,0,0
"TRIM71",0,0,0,1,1,1,0,0,0,0,0,0,0,0
"TRIM72",0,0,1,1,0,0,1,0,0,0,0,0,0,0
"TRIM73",3,0,4,3,2,1,0,0,1,1,0,0,0,0
"TRIM74",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM77",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM8",22,17,31,129,25,61,42,0,10,1,0,15,0,2
"TRIM9",0,2,7,151,1,2,1,0,0,0,0,0,4,0
"TRIML1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIML2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIO",18,35,77,140,28,62,51,2,6,1,6,8,2,0
"TRIOBP",23,10,22,44,12,68,31,2,5,1,0,10,1,0
"TRIP10",43,30,16,86,22,58,44,0,7,2,0,21,0,0
"TRIP11",18,23,90,265,64,42,29,2,11,3,0,5,2,1
"TRIP12",33,34,76,283,69,44,39,2,25,15,4,20,2,5
"TRIP13",0,1,1,2,0,1,3,0,0,0,0,0,0,0
"TRIP4",15,7,22,75,10,15,6,2,3,1,0,9,0,0
"TRIP6",74,52,3,4,1,125,5,0,0,1,0,31,2,0
"TRIQK",10,6,61,316,42,16,7,3,11,0,0,12,0,0
"TRIT1",11,4,21,67,9,10,9,1,11,1,0,10,1,0
"TRMT1",25,6,10,46,13,10,8,2,6,0,1,3,0,0
"TRMT10A",9,5,20,46,9,9,7,0,1,0,0,2,0,0
"TRMT10B",3,2,4,27,4,3,1,0,3,2,0,6,0,0
"TRMT10C",10,9,22,65,18,14,10,0,2,1,1,4,0,0
"TRMT11",15,5,34,140,25,11,3,0,12,0,0,10,2,0
"TRMT112",155,109,504,2129,394,150,152,11,102,20,2,125,7,1
"TRMT12",2,3,7,73,19,9,7,1,1,0,1,7,0,0
"TRMT13",4,0,4,18,12,1,6,0,3,0,0,2,0,0
"TRMT1L",9,4,13,105,14,11,3,1,4,2,0,7,0,0
"TRMT2A",10,6,33,52,16,14,3,0,2,1,1,5,0,0
"TRMT2B",3,2,5,24,7,4,1,0,2,2,0,1,0,1
"TRMT44",7,3,5,14,1,4,4,0,0,1,0,2,0,0
"TRMT5",28,12,86,261,72,34,18,6,30,6,3,27,3,0
"TRMT6",33,10,60,226,55,38,14,3,8,1,3,11,1,0
"TRMT61A",6,2,15,37,13,9,7,0,2,2,0,4,0,0
"TRMT61B",9,4,10,36,16,13,13,0,3,1,0,10,0,0
"TRMU",13,7,29,106,20,7,12,3,18,0,0,10,0,0
"TRNAU1AP",21,7,21,50,11,13,7,1,6,1,0,6,1,0
"TRNP1",56,2,146,494,93,47,7,52,19,1,0,1,0,0
"TRNT1",10,7,15,91,21,17,10,0,2,1,0,5,0,0
"TRO",1,15,22,91,24,20,8,7,4,0,2,4,0,0
"TROAP",1,0,0,2,0,0,0,0,0,0,0,0,0,0
"TROVE2",28,21,61,248,66,76,41,4,18,3,0,32,1,1
"TRPA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPC1",0,4,2,47,9,1,0,0,4,0,0,3,0,0
"TRPC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPC3",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TRPC4",0,0,15,1,0,1,0,3,0,0,0,15,0,0
"TRPC4AP",46,50,75,300,80,55,34,2,28,6,0,25,1,0
"TRPC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPC5OS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPC6",0,1,0,0,0,0,0,0,1,0,0,39,0,0
"TRPM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPM2",0,0,0,21,1,1,2,0,0,6,0,0,0,0
"TRPM3",0,3,4,128,34,1,1,0,0,0,0,14,4,0
"TRPM4",6,1,7,15,2,13,6,0,1,2,0,1,0,0
"TRPM5",0,0,0,53,0,0,1,0,0,0,0,0,0,0
"TRPM6",0,0,2,5,1,0,0,0,0,0,0,0,0,0
"TRPM7",14,5,31,119,16,22,11,1,6,6,0,4,0,0
"TRPM8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPS1",0,16,7,74,10,3,2,0,6,2,0,7,1,0
"TRPT1",34,15,35,159,45,33,18,2,10,3,1,15,0,0
"TRPV1",3,0,4,15,3,3,0,1,1,0,0,0,0,0
"TRPV2",3,20,1,1,0,1,10,0,0,8,1,27,0,0
"TRPV3",0,0,1,5,0,0,0,0,0,0,0,0,0,0
"TRPV4",1,3,0,1,0,11,3,0,0,1,0,1,0,0
"TRPV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPV6",1,0,0,1,0,78,1,0,0,1,0,0,0,0
"TRRAP",8,14,25,75,16,17,11,1,4,1,0,4,0,0
"TRUB1",8,5,18,131,11,11,4,0,4,1,0,3,0,0
"TRUB2",6,7,11,41,6,8,5,0,4,3,0,8,0,0
"TRY2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSACC",0,0,0,4,0,1,0,0,0,0,0,0,0,0
"TSC1",5,5,6,51,13,8,13,0,4,1,0,6,0,0
"TSC2",21,6,21,96,22,22,9,0,9,4,0,9,0,0
"TSC22D1",85,90,372,2785,295,218,382,10,70,4,14,105,0,0
"TSC22D2",18,5,25,44,10,19,6,1,2,0,0,8,1,0
"TSC22D3",2,10,131,181,14,20,26,8,3,3,1,7,1,1
"TSC22D4",20,17,92,220,43,58,25,3,18,5,2,24,1,2
"TSEN15",12,15,34,188,43,26,14,3,23,1,0,16,1,0
"TSEN2",2,4,17,26,4,7,5,0,1,0,0,5,0,0
"TSEN34",27,11,88,232,62,39,20,1,14,4,0,10,0,0
"TSEN54",10,6,42,64,13,17,4,0,10,0,1,0,0,1
"TSFM",61,13,30,138,27,21,27,1,7,2,0,10,0,0
"TSG101",61,29,152,309,104,98,64,5,21,4,2,39,0,0
"TSGA10",7,0,14,109,21,6,1,1,7,0,0,0,0,0
"TSGA10IP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSGA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSHB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSHR",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TSHZ1",10,4,76,343,67,28,103,0,13,3,0,15,1,0
"TSHZ2",11,21,1,197,95,31,5,3,6,0,0,13,1,0
"TSHZ3",2,8,0,74,11,1,10,1,1,0,0,2,0,0
"TSKS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSKU",13,25,3,22,3,12,5,0,0,0,0,6,0,0
"TSLP",0,3,0,1,0,0,2,0,0,0,0,39,0,0
"TSN",26,26,101,400,63,58,38,4,23,5,1,28,2,0
"TSNARE1",2,1,5,13,2,2,2,0,1,0,0,1,0,0
"TSNAX",5,10,33,101,30,15,10,1,11,0,1,5,0,0
"TSNAX.DISC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSNAXIP1",0,1,5,18,2,2,0,0,2,0,0,1,0,0
"TSPAN1",14,2,19,689,17,71,7,1,0,3,0,4,0,0
"TSPAN10",3,0,0,2,1,0,0,0,0,0,0,0,0,0
"TSPAN11",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"TSPAN12",2,1,14,93,6,4,17,0,4,1,0,1,0,0
"TSPAN13",159,36,153,2387,222,177,151,4,80,5,1,5,1,0
"TSPAN14",25,6,26,18,7,90,121,1,3,6,0,13,0,0
"TSPAN15",62,3,10,0,13,102,51,0,2,0,0,8,3,0
"TSPAN16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSPAN17",43,4,43,85,25,27,21,6,6,5,0,5,1,0
